system,first,second,third,total
sparse5,0,0,0,10
ojika4,0,0,0,0
hairer1,0,0,0,10
trinks,0,10,0,10
ku10,20,10,0,60
trinks,0,10,10,30
noon5,20,20,0,90
root9,0,0,90,120
root10,0,0,380,430
eco7,650,60,0,760
noon6,110,220,0,690
root7,0,0,0,10
root5,0,0,0,0
cassou,6520,10500,0,18960
root11,0,0,1580,1690
noon4,0,10,0,20
root8,0,0,20,40
kinema,22900,9140,10,32290
root6,0,0,0,0
henrion5,2210,27960,0,31950
root12,0,0,0,150
caprasse,10,30,0,70
eco5,10,0,0,10
katsura6,1370,1420,0,2880
noon7,1320,2250,0,7190
noon8,18840,23640,0,78240
Hairer1,0,0,0,0
Hairer1,0,0,0,0
katsura7,62040,169910,0,234920
henrion6,44180,383400,0,436120
Gerdt1,830,140,0,1470
Katsura,10,0,0,10
CycRoot,20,20,0,50
Arnborg,10,20,0,30
Gerdt2,0,10,0,10
ParCurv,10,0,0,10
Gerdt3,60,60,0,250
Integ1,0,0,0,20
CycRoot,90,200,0,2570
Gerdt3,240,100,0,870
Integ1,10,60,0,890
Gerdt1,90,40,0,290
Gerdt2,0,0,0,0
BIOMD0000000405,0,0,10,10
BIOMD0000000035,0,0,0,10
BIOMD0000000958,0,0,0,0
BIOMD0000000676,0,0,0,10
BIOMD0000000692,0,0,0,10
BIOMD0000000341,0,0,0,10
BIOMD0000000530,10,0,0,10
BIOMD0000000199,0,0,0,10
BIOMD0000000274,0,0,0,0
BIOMD0000000156,0,0,0,0
BIOMD0000000026,0,0,0,10
BIOMD0000000069,0,0,0,20
BIOMD0000000459,0,0,0,10
BIOMD0000000874,0,0,0,0
BIOMD0000001035,0,0,0,0
BIOMD0000000360,0,0,0,0
BIOMD0000000283,0,0,0,0
BIOMD0000000289,0,0,0,0
BIOMD0000000267,0,0,0,0
BIOMD0000000260,0,0,0,10
BIOMD0000001038,0,0,0,0
BIOMD0000000080,0,0,0,0
BIOMD0000000163,10,0,0,20
BIOMD0000000553,0,0,0,10
BIOMD0000000258,0,0,0,10
BIOMD0000000668,0,10,0,10
BIOMD0000000765,0,0,0,10
BIOMD0000000781,0,0,0,10
BIOMD0000000252,0,0,0,10
BIOMD0000000946,0,0,0,10
BIOMD0000001021,0,0,0,10
BIOMD0000000099,0,0,0,0
BIOMD0000000922,0,0,0,0
BIOMD0000000038,4160,230,0,4460
BIOMD0000000796,0,0,0,10
BIOMD0000000036,0,0,0,0
BIOMD0000000299,0,0,0,10
BIOMD0000000647,0,0,0,10
BIOMD0000000630,0,0,0,0
BIOMD0000000079,0,0,0,0
BIOMD0000000533,0,0,0,10
BIOMD0000000987,0,0,0,10
BIOMD0000000880,0,0,0,0
BIOMD0000000539,0,0,0,10
BIOMD0000000688,20,0,0,30
BIOMD0000000716,0,0,0,0
BIOMD0000001004,0,0,0,10
BIOMD0000000052,0,0,0,10
BIOMD0000000447,31290,9680,0,41260
BIOMD0000000369,0,0,0,0
BIOMD0000000314,0,0,0,10
BIOMD0000000363,0,0,0,10
BIOMD0000000629,0,0,0,10
BIOMD0000000060,0,0,0,0
BIOMD0000000970,0,0,0,10
BIOMD0000000520,0,0,0,0
BIOMD0000000894,0,0,0,0
BIOMD0000000870,0,0,0,10
BIOMD0000000319,0,0,0,10
BIOMD0000000364,10,0,0,20
BIOMD0000001031,0,0,0,10
BIOMD0000000932,0,0,0,10
BIOMD0000000945,0,0,0,0
BIOMD0000000028,30,10,0,90
BIOMD0000000661,0,0,0,10
BIOMD0000000788,10,0,0,20
BIOMD0000000321,0,0,0,0
BIOMD0000000887,0,0,0,10
BIOMD0000000003,0,0,0,10
BIOMD0000000637,1990,880,0,3040
BIOMD0000000851,0,0,0,10
BIOMD0000000046,160,40,0,270
BIOMD0000000708,0,0,0,0
BIOMD0000000745,10,0,0,40
BIOMD0000000278,0,0,0,10
BIOMD0000000272,0,0,0,10
BIOMD0000000092,0,0,0,0
BIOMD0000000911,0,0,0,0
BIOMD0000000885,0,0,0,10
BIOMD0000000076,0,0,0,10
BIOMD0000000777,0,0,0,10
BIOMD0000000261,0,0,0,10
BIOMD0000000552,0,0,0,0
BIOMD0000000329,0,0,0,10
BIOMD0000000663,0,0,0,0
BIOMD0000000780,0,0,0,0
BIOMD0000000687,0,0,10,10
BIOMD0000000259,0,0,10,20
BIOMD0000000323,0,0,0,0
BIOMD0000000057,0,0,0,10
BIOMD0000000483,0,0,0,10
BIOMD0000000460,0,0,0,0
BIOMD0000000940,0,0,0,20
BIOMD0000000050,0,0,0,10
BIOMD0000000157,0,0,0,0
BIOMD0000000359,0,0,0,0
BIOMD0000000769,300,120,0,470
BIOMD0000000680,0,0,0,0
BIOMD0000000229,0,0,0,0
BIOMD0000000905,0,0,0,0
BIOMD0000000875,0,0,0,0
BIOMD0000000759,22200,20850,0,43820
BIOMD0000000282,0,0,0,0
BIOMD0000000361,0,0,0,10
BIOMD0000000726,0,0,0,10
BIOMD0000001034,0,0,0,0
BIOMD0000000854,0,0,0,0
BIOMD0000000770,0,20,0,30
BIOMD0000000707,0,0,0,0
BIOMD0000000198,0,0,0,10
BIOMD0000000882,0,0,0,10
BIOMD0000000916,0,0,0,10
BIOMD0000000006,0,0,0,10
BIOMD0000000291,20,30,0,60
BIOMD0000000748,0,0,0,0
BIOMD0000000002,90,40,0,170
BIOMD0000000178,0,0,0,0
BIOMD0000000868,0,0,0,10
BIOMD0000000886,0,0,0,20
BIOMD0000000091,0,0,0,10
BIOMD0000000271,0,0,0,0
BIOMD0000000957,0,0,0,10
BIOMD0000000030,40,0,0,120
BIOMD0000000827,0,0,0,10
BIOMD0000000507,0,0,0,10
BIOMD0000000709,0,0,0,0
BIOMD0000000679,0,0,0,10
BIOMD0000001011,0,0,0,0
BIOMD0000000082,0,0,0,0
BIOMD0000000871,0,0,0,10
BIOMD0000000755,0,0,0,0
BIOMD0000000312,0,0,0,0
BIOMD0000000159,0,0,0,0
BIOMD0000000054,0,0,0,10
BIOMD0000000413,0,0,0,10
BIOMD0000000357,0,0,0,10
BIOMD0000000710,0,0,0,0
BIOMD0000000783,0,0,0,0
BIOMD0000000257,0,0,0,0
BIOMD0000000487,0,0,0,0
BIOMD0000000024,0,0,0,0
BIOMD0000000934,0,0,0,10
BIOMD0000000519,0,0,0,0
BIOMD0000000123,83200,124880,10,214790
BIOMD0000000368,0,0,0,10
BIOMD0000000166,0,0,0,10
BIOMD0000000521,0,0,0,0
BIOMD0000000892,0,0,0,10
BIOMD0000000906,0,0,0,10
BIOMD0000000233,0,0,0,0
BIOMD0000000609,0,0,0,0
BIOMD0000000040,0,0,0,10
BIOMD0000000500,80,20,0,130
BIOMD0000000292,0,0,0,10
BIOMD0000000191,0,0,0,0
BIOMD0000000072,0,0,0,10
BIOMD0000000962,0,0,0,10
BIOMD0000000968,0,0,0,10
BIOMD0000000108,3780,590,0,4580
